461. It's Still Rock And Roll To Me 	It's Still Rock and Roll to Me
462. Behind The Lines 	Behind the Lines
463. Monkey Man 	Monkey Man
464. It'S The End Of The World As We Know It And I Feel Fine 	It's The End Of The World As We Know It (And I Feel Fine)
465. Alive 	Alive
466. Lido Shuffle 	Lido Shuffle
467. Who's Behind The Door 	Who's Behind The Door?
468. Lights 	Lights
469. Lust For Life 	Lust For Life
470. Back On The Chain Gang 	Back on the Chain Gang
471. Achilles Last Stand 	Achilles Last Stand
472. Dear Prudence 	Dear Prudence
473. The River 	The River
474. Water Song 	Water Song
475. Jailhouse Rock 	Jailhouse Rock
476. Walk Away 	Walk Away
477. Radar Love 	Radar Love
478. The Unforgiven 	The Unforgiven
479. Substitute 	Substitute
480. Me And Bobby Mcgee 	Me and Bobby McGee
481. Wrapped Around Your Finger 	Wrapped Around Your Finger
482. Reelin In The Years 	Reelin' In The Years
483. In The Light 	In the Light
484. Man In The Box 	Man in the Box
485. We Can Work It Out 	We Can Work It Out
486. Fire On High 	Fire On High
487. You Got That Right 	You Got That Right
488. Got My Mind Set On You 	Got My Mind Set On You
489. My Best Friends Girl 	My Best Friend's Girl
490. Friday On My Mind 	Friday On My Mind
491. Beautiful Day 	Beautiful Day
492. Into The Great Wide Open 	
493. Cum On Feel the Noize 	Cum on Feel the Noize
494. Forever Young 	Forever Young
495. The Stranger 	The Stranger
496. Knockin' On Heaven's Door 	Knockin' On Heaven's Door
497. Higher Ground 	Higher Ground
498. The Pusher 	The Pusher
499. With A Little Help From My Friends 	With A Little Help From My Friends
500. Whole Lotta Rosie 	Whole Lotta Rosie
501. Spread Your Wings 	Spread Your Wings
502. Rainy Day Women #12 & 35 	Rainy Day Women #12 & 35
503. Dr. Feelgood 	Dr. Feelgood
504. Shattered 	Shattered
505. Thick As A Brick 	Thick as a Brick
506. All Night Long 	All Night Long
507. Long Live Rock 	Long Live Rock
508. Foolin' 	Foolin'
509. Hocus Pocus 	Hocus Pocus
510. Helter Skelter 	Helter Skelter
511. Flirtin' With Disaster 	Flirtin' with Disaster
512. Shot In The Dark 	Shot in the Dark
513. Rebel Rebel 	Rebel Rebel
514. Blue Collar Man 	Blue Collar Man (Long Nights)
515. Cliffs Of Dover 	Cliffs Of Dover - Instrumental
516. Summer of '69 	Summer Of '69
517. Us And Them 	Us and Them
518. Carry On 	Carry On
519. Man On The Silver Mountain 	Man On The Silver Mountain
520. People Get Ready 	People Get Ready
521. Shock The Monkey 	Shock The Monkey
522. Pressure 	Pressure
523. Crossroads 	Crossroads
524. Fat Man In The Bathtub 	Fat Man in the Bathtub
525. And The Cradle Will Rock 	And the Cradle Will Rock...
526. She Talks To Angels 	She Talks To Angels
527. Can't Buy Me Love 	Can't Buy Me Love
528. Bad Reputation 	Bad Reputation
529. The Wind Cries Mary 	The Wind Cries Mary
530. Just Like Starting Over 	(Just Like) Starting Over
531. Alison 	Alison
532. Feel Like Making Love 	Feel like Makin' Love
533. We're Not Gonna Take It 	We're Not Gonna Take It
534. Havin' A Party 	Havin' A Party
535. Tangerine 	Tangerine
536. Train Kept A Rollin 	Train Kept a Rollin'
537. Takin' Care Of Business 	Takin' Care Of Business
538. We Didn't Start The Fire 	We Didn't Start the Fire
539. One Thing Leads To Another 	One Thing Leads To Another
540. Baker Street 	Baker Street
541. You Give Love A Bad Name 	You Give Love A Bad Name
542. Show Me The Way 	Show Me The Way
543. Down By The River 	Down By The River
544. Hungry Heart 	Hungry Heart
545. Truckin' 	Truckin'
546. Time Is On My Side 	Time Is On My Side
547. Mysterious Ways 	Mysterious Ways
548. I Saw Her Standing There 	I Saw Her Standing There
549. Long Cool Woman 	Long Cool Woman (In a Black Dress)
550. Closer To The Heart 	Closer To The Heart
551. Woodstock 	Woodstock
552. Close My Eyes Forever 	Close My Eyes Forever
553. Walk On The Wild Side 	Walk On the Wild Side
